date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:46	30016/30016	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-7540%22	http://cdn2.editmysite.com/fonts/Lato/light.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/light.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:47	17728/17728	---M--	200	added ('OK')	font/woff2	etag:%2269777aa7-4540%22	http://cdn2.editmysite.com/fonts/Lato/lightitalic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightitalic.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:47	19560/19560	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-4c68%22	http://cdn2.editmysite.com/fonts/Lato/lightitalic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightitalic.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:49	63404/63404	---M-Z	200	added ('OK')	application/octet-stream	etag:%22697bd451-f7ac%22	http://cdn2.editmysite.com/fonts/Lato/light.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/light.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:50	22492/22492	---M--	200	added ('OK')	font/woff	etag:%22697bd451-57dc%22	http://cdn2.editmysite.com/fonts/Lato/lightitalic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightitalic.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:51	39264/39264	---M-Z	200	added ('OK')	application/octet-stream	etag:%2269777aa7-9960%22	http://cdn2.editmysite.com/fonts/Lato/lightitalic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightitalic.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:51	24456/24456	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697b7a96-5f88%22	http://cdn2.editmysite.com/fonts/Lato/light.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightd41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:53	26669/26669	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226972491f-682d%22	http://cdn2.editmysite.com/fonts/Lato/regular.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/regular.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:54	23580/23580	---M--	200	added ('OK')	font/woff2	etag:%2269777aa7-5c1c%22	http://cdn2.editmysite.com/fonts/Lato/regular.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/regular.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:56	28648/28648	---M--	200	added ('OK')	font/woff	etag:%226972491f-6fe8%22	http://cdn2.editmysite.com/fonts/Lato/regular.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/regular.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:57	60540/60540	---M-Z	200	added ('OK')	application/octet-stream	etag:%2269777aa7-ec7c%22	http://cdn2.editmysite.com/fonts/Lato/regular.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/regular.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:58	27720/27720	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-6c48%22	http://cdn2.editmysite.com/fonts/Lato/italic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/italic.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:58	24408/24408	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-5f58%22	http://cdn2.editmysite.com/fonts/Lato/italic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/italic.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:01	29864/29864	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-74a8%22	http://cdn2.editmysite.com/fonts/Lato/italic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/italic.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:02	60976/60976	---M-Z	200	added ('OK')	application/octet-stream	etag:%226972491f-ee30%22	http://cdn2.editmysite.com/fonts/Lato/italic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/italic.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:02	26118/26118	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-6606%22	http://cdn2.editmysite.com/fonts/Lato/bold.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bold.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:02	23040/23040	---M--	200	added ('OK')	font/woff2	etag:%22697b7a96-5a00%22	http://cdn2.editmysite.com/fonts/Lato/bold.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bold.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
